Name,Code,Capital,Province,Area,Population
Albania,AL,Tirana,Albania,28750,2821977
Greece,GR,Athina,Attikis,131940,10432481
Cyprus,CY,Nicosia,Cyprus,9251,918100
Akrotiri and Dhekelia,AD,Episkopi Cantonment,Akrotiri and Dhekelia,254,18195
North Macedonia,MK,Skopje,North Macedonia,25333,1836713
Serbia,SRB,Beograd,Serbia,77474,6690887
Montenegro,MNE,Podgorica,Montenegro,14026,619211
Kosovo,KOS,Prishtine,Kosovo,10887,1733872
Andorra,AND,Andorra la Vella,Andorra,450,79535
France,F,Paris,ÃŽle-de-France,547030,64300821
Spain,E,Madrid,Madrid,504750,47400798
