lake,country,province
InarijÃ¤rvi,SF,Lappia
OulujÃ¤rvi,SF,Kainuu
Saimaa,SF,EtelÃ¤-Karjala
Saimaa,SF,EtelÃ¤-Savo
PÃ¤ijÃ¤nne,SF,PÃ¤ijÃ¤t-HÃ¤me
PÃ¤ijÃ¤nne,SF,Keski-Suomi
Mjoesa-See,N,Hedmark
Mjoesa-See,N,Oppland
Storuman,S,VÃ¤sterbotten
Siljan,S,Dalarna
MÃ¤laren,S,SÃ¶dermanland
MÃ¤laren,S,Stockholm
MÃ¤laren,S,Uppsala
MÃ¤laren,S,VÃ¤stmanland
VÃ¤nern,S,VÃ¤stra GÃ¶taland
VÃ¤nern,S,VÃ¤rmland
VÃ¤ttern,S,VÃ¤stra GÃ¶taland
VÃ¤ttern,S,JÃ¶nkÃ¶ping
VÃ¤ttern,S,Ã–rebro
VÃ¤ttern,S,Ã–stergÃ¶tland
ArresÃ¸,DK,Hovedstaden
Lough Neagh,GB,Northern Ireland
Loch Ness,GB,Scotland
Loch Lomond,GB,Scotland
Bodensee,D,Baden-WÃ¼rttemberg
Bodensee,D,Bayern
Bodensee,CH,Sankt Gallen
Bodensee,CH,Thurgau
Bodensee,A,Vorarlberg
Chiemsee,D,Bayern
Starnberger See,D,Bayern
Ammersee,D,Bayern
Laacher Maar,D,Rheinland-Pfalz
Lac Leman,F,Auvergne-RhÃ´ne-Alpes
Lac Leman,CH,GenÃ¨ve
Lac Leman,CH,Valais
Lac Leman,CH,Vaud
Lac de Serre-PonÃ§on,F,Provence-Alpes-CÃ´te d'Azur
ZÃ¼richsee,CH,Glarus
ZÃ¼richsee,CH,Schwyz
ZÃ¼richsee,CH,ZÃ¼rich
Thunersee,CH,Bern
Brienzersee,CH,Bern
Lac de NeuchÃ¢tel,CH,Bern
Lac de NeuchÃ¢tel,CH,Fribourg
Lac de NeuchÃ¢tel,CH,NeuchÃ¢tel
Lac de NeuchÃ¢tel,CH,Vaud
Bielersee,CH,Bern
Bielersee,CH,NeuchÃ¢tel
VierwaldstÃ¤ttersee,CH,Luzern
VierwaldstÃ¤ttersee,CH,Nidwalden
VierwaldstÃ¤ttersee,CH,Obwalden
VierwaldstÃ¤ttersee,CH,Schwyz
VierwaldstÃ¤ttersee,CH,Uri
Lago Maggiore,I,Piemonte
Lago Maggiore,I,Lombardia
Lago Maggiore,CH,Ticino
Lago di Lugano,I,Piemonte
Lago di Lugano,I,Lombardia
Lago di Lugano,CH,Ticino
Lago di Como,I,Lombardia
Lago di Garda,I,Lombardia
Lago di Garda,I,Veneto
Lago Trasimeno,I,Toscana
Lago Trasimeno,I,Umbria
Lago di Bolsena,I,Lazio
Lago di Bracciano,I,Lazio
Lago Albano,I,Lazio
Lago Omodeo,I,Sardegna
Laguna de Gallocanta,E,AragÃ³n
Neusiedlersee,H,GyÅ‘r-Moson-Sopron
Neusiedlersee,A,Burgenland
Balaton,H,FejÃ©r
Balaton,H,Somogy
Balaton,H,VeszprÃ©m
Balaton,H,Zala
Orava Reservoir,SK,Å½ilinskÃ½
Lake Skutari,AL,Albania
Lake Skutari,MNE,Montenegro
Lake Prespa,AL,Albania
Lake Prespa,GR,Dytikis Makedonias
Lake Prespa,MK,North Macedonia
Lake Ohrid,AL,Albania
Lake Ohrid,MK,North Macedonia
Kiev Reservoir,UA,Cernihivska
Kiev Reservoir,UA,KyÃ¯vska
Kakhovka Reservoir,UA,Chersonska
Kakhovka Reservoir,UA,Dnipropetrovska
Kakhovka Reservoir,UA,Zaporizka
Kremenchuk Reservoir,UA,Cerkaska
Kremenchuk Reservoir,UA,Kirovohradska
Kremenchuk Reservoir,UA,Poltavska
Rybinsk Reservoir,R,Vologodskaya
Rybinsk Reservoir,R,Tverskaya
Rybinsk Reservoir,R,Yaroslavskaya
Kuybyshev Reservoir,R,Tatarstan
Kuybyshev Reservoir,R,Samarskaya
Kuybyshev Reservoir,R,Ulyanovskaya
Kama Reservoir,R,Permskij
Lower Kama Reservoir,R,Kaliningradskaya
Lower Kama Reservoir,R,Tatarstan
Lower Kama Reservoir,R,Udmurtskaya
Lower Kama Reservoir,R,Permskij
Ozero Ladoga,R,Karelia
Ozero Ladoga,R,Leningradskaya
Ozero Onega,R,Karelia
Ozero Onega,R,Vologodskaya
Ozero Onega,R,Leningradskaya
Wygozero,R,Karelia
Ozero Pskovskoje,EST,Estonia
Ozero Pskovskoje,R,Pskovskaya
Novosibirsk Reservoir,R,Altay
Novosibirsk Reservoir,R,Novosibirskaya
Ozero Keta,R,Krasnoyarsk
Ozero Khantayskoye,R,Krasnoyarsk
Ozero Taimyr,R,Krasnoyarsk
Ozero Baikal,R,Buryatiya
Ozero Baikal,R,Irkutskaya
Ozero Chanka,R,Primorskiy
Ozero Chanka,CN,Heilongjiang
Koltsevoye Lake,R,Sakhalin
Dead Sea,WB,West Bank
Dead Sea,IL,HaDarom
Dead Sea,JOR,Jordan
Lake Genezareth,IL,HaZafon
Lake Genezareth,SYR,Al Qunaytirah
Lake Assad,SYR,Ar Raqqah
Lake Assad,SYR,Halab
Lake Van,TR,Bitlis
Lake Van,TR,Van
Tuz GÃ¶lÃ¼,TR,Aksaray
Tuz GÃ¶lÃ¼,TR,Ankara
Tuz GÃ¶lÃ¼,TR,Konya
Nemrut GÃ¶lÃ¼,TR,Bitlis
Lake Keban,TR,ElazÄ±ÄŸ
Lake Keban,TR,Erzincan
Lake Keban,TR,Tunceli
AtatÃ¼rk Baraj GÃ¶lÃ¼,TR,AdÄ±yaman
AtatÃ¼rk Baraj GÃ¶lÃ¼,TR,ÅžanlÄ±urfa
Lake Sevan,ARM,Armenia
Lake Urmia,IR,West Azarbayejan
Lake Urmia,IR,East Azarbayejan
Daryacheh ye Namak,IR,Esfahan
Daryacheh ye Namak,IR,Semnan
Daryacheh ye Namak,IR,Qom
Lake Hamun,IR,Sistan and Baluchestan
Caspian Sea,R,Kalmykiya
Caspian Sea,R,Astrakhanskaya
Caspian Sea,R,Dagestan
Caspian Sea,AZ,Azerbaijan
Caspian Sea,IR,Gilan
Caspian Sea,IR,Mazandaran
Caspian Sea,IR,Golestan
Caspian Sea,TM,Balkan
Caspian Sea,KZ,Atyrau
Caspian Sea,KZ,Mangistau
GarabogazkÃ¶l,TM,Balkan
North Aral Sea,KZ,Kyzylorda
South Aral Sea,UZ,QoraqalpogÊ»iston
South Aral Sea,KZ,Kyzylorda
Bukhtarma Reservoir,KZ,East-Kazakhstan
Kapshagay Dam,KZ,Almaty
Ozero Balchash,KZ,Almaty
Ozero Balchash,KZ,Karaganda
Ozero Balchash,KZ,Zhambyl
Issyk-Kul,KG,Kyrgyzstan
Koli Sarez,TJ,Gorno-Badakhshan
Karakul,TJ,Gorno-Badakhshan
Lop Nor,CN,Xinjiang
Aydingkol,CN,Xinjiang
Uws Nuur,MNG,Mongolia
ChÃ¶wsgÃ¶l Nuur,MNG,Mongolia
Hulun Nur,CN,Nei Mongol
Qinghai Lake,CN,Qinghai
Nam Co,CN,Xizang
Manasarovar,CN,Xizang
Rakshastal,CN,Xizang
Hongze Hu,CN,Jiangsu
Tai Hu,CN,Jiangsu
Tai Hu,CN,Zhejiang
Poyang Hu,CN,Jiangxi
Xiluodu,CN,Sichuan
Xiluodu,CN,Yunnan
Three Gorges Reservoir,CN,Hubei
Three Gorges Reservoir,CN,Chongqing
Dongting Hu,CN,Hunan
Heaven Lake,CN,Jilin
Heaven Lake,KP,North Korea
Supung Dam,CN,Liaoning
Supung Dam,KP,North Korea
Lake Biwa,J,Shiga
Lake Kussharo,J,Hokkaido
Lake Tazawa,J,Akita
Lake Pinatubo,RP,Central Luzon
Lake Taal,RP,Central Luzon
Taal Crater Lake,RP,Central Luzon
Laguna de Bay,RP,Calabarzon
Laguna de Bay,RP,Metro Manila
Lake Lanao,RP,Muslim Mindanao
Lake Toba,RI,Sumatera Utara
Danau Kumbang,RI,Jambi
Segara Anak,RI,Nusa Tenggara Barat
Tonle Sap,K,Cambodia
Lake Bhumibol,THA,Thailand
Lake Sirikit,THA,Thailand
Songkhla Lake,THA,Thailand
Lake Nasser,ET,Egypt
Lake Nasser,SUD,Ash-ShamÄlÄ«yah
Chott Melrhir,DZ,Algeria
Lake Kossou,CI,Abidjan
Lake Kossou,CI,Sassandra-MarahouÃ©
Lake Kossou,CI,Lacs
Lake Kossou,CI,VallÃ©e du Bandama
Lake Volta,GH,Bono East
Lake Volta,GH,Eastern
Lake Volta,GH,Northern
Lake Volta,GH,Savannah
Lake Volta,GH,Volta
Lake Volta,GH,Oti
Lake Bosumtwi,GH,Ashanti
Lake Kainji,NGR,Kebbi
Lake Kainji,NGR,Niger
Chad Lake,NGR,Borno
Chad Lake,RN,Diffa
Chad Lake,TCH,Chad
Chad Lake,CAM,ExtrÃªme-Nord
Barrage de Mbakaou,CAM,Adamaoua
Lake Nyos,CAM,Nord-Ouest
Lac Assal,DJI,Djibouti
Lake Abbe,DJI,Djibouti
Lake Abbe,ETH,Afar
Lake Abaya,ETH,Oromia
Lake Abaya,ETH,Southern
Chew Bahir,EAK,Kenya
Chew Bahir,ETH,Oromia
Chew Bahir,ETH,Southern
Lake Turkana,EAK,Kenya
Lake Turkana,ETH,Southern
Lake Tana,ETH,Amhara
Lake No,SSD,South Sudan
Lake Sese Seko/Albertsee,CGO,Ituri
Lake Sese Seko/Albertsee,EAU,Northern
Lake Sese Seko/Albertsee,EAU,Western
Rutanzige/Eduardsee,CGO,Nord-Kivu
Rutanzige/Eduardsee,EAU,Western
Lake Kyoga,EAU,Central
Lake Kyoga,EAU,Eastern
Lake Kyoga,EAU,Northern
Lake Victoria,EAT,Kagera
Lake Victoria,EAT,Mwanza
Lake Victoria,EAT,Mara
Lake Victoria,EAT,Simiyu
Lake Victoria,EAT,Geita
Lake Victoria,EAU,Central
Lake Victoria,EAU,Eastern
Lake Victoria,EAK,Kenya
Lake Kivu,CGO,Sud-Kivu
Lake Kivu,CGO,Nord-Kivu
Lake Kivu,RWA,Rwanda
Lake Tanganjika,CGO,Sud-Kivu
Lake Tanganjika,CGO,Tanganyika
Lake Tanganjika,Z,Northern
Lake Tanganjika,EAT,Rukwa
Lake Tanganjika,EAT,Kigoma
Lake Tanganjika,EAT,Katavi
Lake Tanganjika,BI,Burundi
Lake Mweru,CGO,Haut-Katanga
Lake Mweru,Z,Luapula
Lake Bangweulu,Z,Luapula
Lake Bangweulu,Z,Northern
Lake Rukwa,EAT,Songwe
Lake Rukwa,EAT,Rukwa
Lake Rukwa,EAT,Katavi
Lake Eyasi,EAT,Arusha
Lake Natron,EAT,Arusha
Lake Malawi,MOC,Niassa
Lake Malawi,MW,Malawi
Lake Malawi,EAT,Ruvuma
Lake Malawi,EAT,Songwe
Lake Malawi,EAT,Njombe
Lake Chilwa,MOC,Niassa
Lake Chilwa,MW,Malawi
Lake Mai Ndombe,CGO,Mai-Ndombe
Malebo Pool,RCB,Pool
Malebo Pool,RCB,Brazzaville
Malebo Pool,CGO,Kinshasa
Lake Cahora-Bassa,MOC,Tete
Lake Kariba,ZW,Zimbabwe
Lake Kariba,Z,Southern
Lake Ngami,RB,Botswana
Etoscha Salt Pan,NAM,Namibia
Makgadikgadi Salt Pan,RB,Botswana
Lake Hazen,CDN,Nunavut
Nettilling Lake,CDN,Nunavut
Lake Clark,USA,Alaska
Iliamna Lake,USA,Alaska
Great Bear Lake,CDN,Northwest Territories
Great Slave Lake,CDN,Northwest Territories
Lake Athabasca,CDN,Alberta
Lake Athabasca,CDN,Saskatchewan
Atlin Lake,CDN,British Columbia
Atlin Lake,CDN,Yukon
Lake Winnipeg,CDN,Manitoba
Lake Nipigon,CDN,Ontario
Lake Manicouagan,CDN,Quebec
Lake Ontario,CDN,Ontario
Lake Ontario,USA,New York
Lake Erie,CDN,Ontario
Lake Erie,USA,Michigan
Lake Erie,USA,New York
Lake Erie,USA,Ohio
Lake Erie,USA,Pennsylvania
Lake Huron,CDN,Ontario
Lake Huron,USA,Michigan
Lake Manitou,CDN,Ontario
Lake Mindemoya,CDN,Ontario
Lake Michigan,USA,Illinois
Lake Michigan,USA,Indiana
Lake Michigan,USA,Michigan
Lake Michigan,USA,Wisconsin
Lake Superior,CDN,Ontario
Lake Superior,USA,Michigan
Lake Superior,USA,Minnesota
Lake Superior,USA,Wisconsin
Lake Champlain,CDN,Quebec
Lake Champlain,USA,New York
Lake Champlain,USA,Vermont
Lake Winnipesaukee,USA,New Hampshire
Lake Okeechobee,USA,Florida
Kentucky Lake,USA,Kentucky
Kentucky Lake,USA,Tennessee
Chickamauga Lake,USA,Tennessee
Franklin. D. Roosevelt Lake,USA,Washington
Lake Pend Oreille,USA,Idaho
Lake Chelan,USA,Oregon
Mazama Crater Lake,USA,Oregon
Great Salt Lake,USA,Utah
Utah Lake,USA,Utah
Lake Tahoe,USA,California
Lake Tahoe,USA,Nevada
Pyramid Lake,USA,Nevada
Mono Lake,USA,California
Lake Oroville,USA,California
Lake Powell,USA,Arizona
Lake Powell,USA,Utah
Lake Mead,USA,Arizona
Lake Mead,USA,Nevada
Fort Peck Lake,USA,Montana
Lake Sakakawea,USA,Montana
Lake Sakakawea,USA,North Dakota
Lake Oahe,USA,North Dakota
Lake Oahe,USA,South Dakota
Lago de Chapala,MEX,Jalisco
Presa Malpaso,MEX,Chiapas
Presa Angostura,MEX,Chiapas
Lago de AtitlÃ¡n,GCA,Guatemala
Lago de Izabal,GCA,Guatemala
Lago Enriquillo,DOM,Dominican Republic
Lake Nicaragua,NIC,Nicaragua
Lake Nicaragua,CR,Alajuela
Lake Nicaragua,CR,Guanacaste
Lake Managua,NIC,Nicaragua
Lake Irazu,CR,Cartago
Lake Bayano,PA,PanamÃ¡
La Brea Pitch Lake,TT,Trinidad and Tobago
Represa de Ilha Solteira,BR,Mato Grosso do Sul
Represa de Ilha Solteira,BR,Minas Gerais
Represa de Ilha Solteira,BR,SÃ£o Paulo
Lago de Sobradinho,BR,Bahia
Quilotoa,EC,Ecuador
Lake Junin,PE,JunÃ­n
Lake Junin,PE,Pasco
Lake Titicaca,PE,Puno
Lake Titicaca,BOL,La Paz
Poopo,BOL,Oruro
Poopo,BOL,PotosÃ­
Salar de Uyuni,BOL,PotosÃ­
Laguna Verde,BOL,PotosÃ­
Salar de Atacama,RCH,Antofagasta
Licancabur Crater Lake,RCH,Antofagasta
Laguna Mar Chiquita,RA,CÃ³rdoba
Laguna Mar Chiquita,RA,Santa Fe
Laguna Mar Chiquita,RA,Santiago de Estero
Nahuel Huapi,RA,NeuquÃ©n
Nahuel Huapi,RA,RÃ­o Negro
Lago General Carrera,RCH,AysÃ©n
Lago General Carrera,RA,Santa Cruz
Laguna del CarbÃ³n,RA,Santa Cruz
Lago Argentino,RA,Santa Cruz
Fagnano Lake,RCH,Magallanes
Fagnano Lake,RA,Tierra del Fuego
Lake Eyre,AUS,South Australia
Lake Burley Griffin,AUS,Australia Capital Territory
Lake Eucumbene,AUS,New South Wales
Lake Jindabyne,AUS,New South Wales
Lake Hume,AUS,New South Wales
Lake Hume,AUS,Victoria
Lake Taupo,NZ,New Zealand
Te Wai Ä-moe,NZ,New Zealand
Lake Wanaka,NZ,New Zealand
Lake Tengano,SOL,Solomon Islands
