city,province,country,river,lake,sea
ShkodÃ«r,Albania,AL,,Lake Skutari,
DurrÃ«s,Albania,AL,,,Mediterranean Sea
VlorÃ«,Albania,AL,,,Mediterranean Sea
Kavala,Anatolikis Makedonias kai Thrakis,GR,,,Mediterranean Sea
Athina,Attikis,GR,,,Mediterranean Sea
Peiraias,Attikis,GR,,,Mediterranean Sea
Patra,Dytikis Elladas,GR,,,Mediterranean Sea
Kerkyra,Ionion Nison,GR,,,Mediterranean Sea
Thessaloniki,Kentrikis Makedonias,GR,,,Mediterranean Sea
Iraklio,Kritis,GR,,,Mediterranean Sea
Chania,Kritis,GR,,,Mediterranean Sea
Ermoupoli,Notioy Aigaioy,GR,,,Mediterranean Sea
Rhodes,Notioy Aigaioy,GR,,,Mediterranean Sea
Chalkida,Stereas Elladas,GR,,,Mediterranean Sea
Volos,Thessalias,GR,,,Mediterranean Sea
Mytilini,Boreioy Aigaioy,GR,,,Mediterranean Sea
Larnaka,Cyprus,CY,,,Mediterranean Sea
Lemesos,Cyprus,CY,,,Mediterranean Sea
Skopje,North Macedonia,MK,Vardar,,
Beograd,Serbia,SRB,Donau,,
Beograd,Serbia,SRB,Save,,
Novi Sad,Serbia,SRB,Donau,,
Kragujevac,Serbia,SRB,Southern Morava,,
NiÅ¡,Serbia,SRB,Southern Morava,,
Podgorica,Montenegro,MNE,Moraca,,
Andorra la Vella,Andorra,AND,Valira,,
Paris,ÃŽle-de-France,F,Seine,,
Paris,ÃŽle-de-France,F,Marne,,
Boulogne-Billancourt,ÃŽle-de-France,F,Seine,,
Argenteuil,ÃŽle-de-France,F,Seine,,
Saint-Denis,ÃŽle-de-France,F,Seine,,
Lyon,Auvergne-RhÃ´ne-Alpes,F,Rhone,,
Lyon,Auvergne-RhÃ´ne-Alpes,F,Saone,,
Grenoble,Auvergne-RhÃ´ne-Alpes,F,Isere,,
Villeurbanne,Auvergne-RhÃ´ne-Alpes,F,Rhone,,
Bordeaux,Nouvelle-Aquitaine,F,Garonne,,
Limoges,Nouvelle-Aquitaine,F,Vienne,,
Amiens,Hauts-de-France,F,Somme,,
Calais,Hauts-de-France,F,,,North Sea
Marseille,Provence-Alpes-CÃ´te d'Azur,F,,,Mediterranean Sea
Nice,Provence-Alpes-CÃ´te d'Azur,F,,,Mediterranean Sea
Toulon,Provence-Alpes-CÃ´te d'Azur,F,,,Mediterranean Sea
Rennes,Bretagne,F,Vilaine,,
Brest,Bretagne,F,,,Atlantic Ocean
OrlÃ©ans,Centre-Val de Loire,F,Loire,,
Tours,Centre-Val de Loire,F,Loire,,
Nantes,Pays de la Loire,F,Loire,,
Angers,Pays de la Loire,F,Maine,,
Le Mans,Pays de la Loire,F,Sarthe,,
Strasbourg,Grand Est,F,Rhein,,
Strasbourg,Grand Est,F,Ill,,
Mulhouse,Grand Est,F,Ill,,
Metz,Grand Est,F,Mosel,,
Nancy,Grand Est,F,Meurthe,,
Rouen,Normandie,F,Seine,,
Le Havre,Normandie,F,Seine,,The Channel
BesanÃ§on,Bourgogne-Franche-ComtÃ©,F,Doubs,,
Toulouse,Occitanie,F,Garonne,,
Perpignan,Occitanie,F,,,Mediterranean Sea
Ajaccio,Corse,F,,,Mediterranean Sea
Sevilla,AndalucÃ­a,E,Guadalquivir,,
AlmerÃ­a,AndalucÃ­a,E,,,Mediterranean Sea
CÃ¡diz,AndalucÃ­a,E,,,Atlantic Ocean
CÃ³rdoba,AndalucÃ­a,E,Guadalquivir,,
Granada,AndalucÃ­a,E,Genil,,
Huelva,AndalucÃ­a,E,,,Atlantic Ocean
MÃ¡laga,AndalucÃ­a,E,,,Mediterranean Sea
Algeciras,AndalucÃ­a,E,,,Mediterranean Sea
Marbella,AndalucÃ­a,E,,,Mediterranean Sea
Zaragoza,AragÃ³n,E,Ebro,,
GijÃ³n,Asturias,E,,,Atlantic Ocean
Palma de Mallorca,Illes Balears,E,,,Mediterranean Sea
Bilbao,Euskadi,E,,,Atlantic Ocean
Barakaldo,Euskadi,E,,,Atlantic Ocean
Donostia,Euskadi,E,,,Atlantic Ocean
Santa Cruz de Tenerife,Canarias,E,,,Atlantic Ocean
San CristÃ³bal de La Laguna,Canarias,E,,,Atlantic Ocean
Las Palmas de Gran Canaria,Canarias,E,,,Atlantic Ocean
Telde,Canarias,E,,,Atlantic Ocean
Santander,Cantabria,E,,,Atlantic Ocean
Valladolid,Castilla y LeÃ³n,E,Douro,,
Toledo,Castilla-La Mancha,E,Tejo,,
Barcelona,Catalunya,E,,,Mediterranean Sea
Lleida,Catalunya,E,Segre,,
Tarragona,Catalunya,E,,,Mediterranean Sea
Badalona,Catalunya,E,,,Mediterranean Sea
Badajoz,Extremadura,E,Guadiana,,
A CoruÃ±a,Galicia,E,,,Atlantic Ocean
Vigo,Galicia,E,,,Atlantic Ocean
Ourense,Galicia,E,Mino,,
TorrejÃ³n de Ardoz,Madrid,E,Jarama,,
Murcia,Murcia,E,Segura,,
Cartagena,Murcia,E,,,Mediterranean Sea
LogroÃ±o,La Rioja,E,Ebro,,
Valencia,Valenciana,E,Turia,,Mediterranean Sea
Alicante,Valenciana,E,,,Mediterranean Sea
CastellÃ³n de la Plana,Valenciana,E,,,Mediterranean Sea
Praha,Praha,CZ,Moldau,,
Praha,Praha,CZ,Berounka,,
ÄŒeskÃ© BudÄ›jovice,JihoÄeskÃ½,CZ,Moldau,,
Brno,JihomoravskÃ½,CZ,Svratka,,
Karlovy Vary,KarlovarskÃ½,CZ,Eger,,
Jihlava,VysoÄina,CZ,Jihlava,,
Hradec KrÃ¡lovÃ©,KrÃ¡lovÃ©hradeckÃ½,CZ,Elbe,,
Liberec,LibereckÃ½,CZ,NeiÃŸe,,
Ostrava,MoravskoslezskÃ½,CZ,Oder,,
Olomouc,OlomouckÃ½,CZ,March,,
Pardubice,PardubickÃ½,CZ,Elbe,,
PlzeÅˆ,PlzeÅˆskÃ½,CZ,Berounka,,
ÃšstÃ­ nad Labem,ÃšsteckÃ½,CZ,Elbe,,
Bratislava,BratislavskÃ½,SK,Donau,,
Bratislava,BratislavskÃ½,SK,March,,
BanskÃ¡ Bystrica,BanskobystrickÃ½,SK,Hron,,
Å½ilina,Å½ilinskÃ½,SK,Waag,,
KoÅ¡ice,KoÅ¡ickÃ½,SK,Hernad,,
PreÅ¡ov,PreÅ¡ovskÃ½,SK,Torysa,,
Nitra,Nitriansky,SK,Nitra,,
TrenÄÃ­n,TrenÄiansky,SK,Waag,,
Stuttgart,Baden-WÃ¼rttemberg,D,Neckar,,
Mannheim,Baden-WÃ¼rttemberg,D,Rhein,,
Mannheim,Baden-WÃ¼rttemberg,D,Neckar,,
Karlsruhe,Baden-WÃ¼rttemberg,D,Rhein,,
Heidelberg,Baden-WÃ¼rttemberg,D,Neckar,,
Heilbronn,Baden-WÃ¼rttemberg,D,Neckar,,
Pforzheim,Baden-WÃ¼rttemberg,D,Enz,,
Ulm,Baden-WÃ¼rttemberg,D,Donau,,
Ulm,Baden-WÃ¼rttemberg,D,Iller,,
MÃ¼nchen,Bayern,D,Isar,,
NÃ¼rnberg,Bayern,D,Pegnitz,,
Augsburg,Bayern,D,Lech,,
WÃ¼rzburg,Bayern,D,Main,,
Regensburg,Bayern,D,Donau,,
Regensburg,Bayern,D,Regen,,
Regensburg,Bayern,D,Naab,,
Ingolstadt,Bayern,D,Donau,,
FÃ¼rth,Bayern,D,Regnitz,,
FÃ¼rth,Bayern,D,Rednitz,,
FÃ¼rth,Bayern,D,Pegnitz,,
Erlangen,Bayern,D,Regnitz,,
Berlin,Berlin,D,Havel,,
Berlin,Berlin,D,Spree,,
Potsdam,Brandenburg,D,Havel,,
Cottbus,Brandenburg,D,Spree,,
Bremen,Bremen,D,Weser,,
Bremerhaven,Bremen,D,Weser,,North Sea
Hamburg,Hamburg,D,Elbe,,
Wiesbaden,Hessen,D,Rhein,,
Wiesbaden,Hessen,D,Main,,
Frankfurt,Hessen,D,Main,,
Frankfurt,Hessen,D,Nidda,,
Kassel,Hessen,D,Fulda,,
Offenbach am Main,Hessen,D,Main,,
Rostock,Mecklenburg-Vorpommern,D,,,Baltic Sea
Hannover,Niedersachsen,D,Leine,,
Braunschweig,Niedersachsen,D,Oker,,
OsnabrÃ¼ck,Niedersachsen,D,Hase,,
GÃ¶ttingen,Niedersachsen,D,Leine,,
Wolfsburg,Niedersachsen,D,Aller,,
DÃ¼sseldorf,Nordrhein-Westfalen,D,Rhein,,
KÃ¶ln,Nordrhein-Westfalen,D,Rhein,,
Essen,Nordrhein-Westfalen,D,Emscher,,
Essen,Nordrhein-Westfalen,D,Ruhr,,
Dortmund,Nordrhein-Westfalen,D,Emscher,,
Dortmund,Nordrhein-Westfalen,D,Ruhr,,
Duisburg,Nordrhein-Westfalen,D,Rhein,,
Duisburg,Nordrhein-Westfalen,D,Ruhr,,
Bochum,Nordrhein-Westfalen,D,Ruhr,,
Wuppertal,Nordrhein-Westfalen,D,Wupper,,
Gelsenkirchen,Nordrhein-Westfalen,D,Emscher,,
Bonn,Nordrhein-Westfalen,D,Rhein,,
Krefeld,Nordrhein-Westfalen,D,Rhein,,
Oberhausen,Nordrhein-Westfalen,D,Emscher,,
Oberhausen,Nordrhein-Westfalen,D,Ruhr,,
Hagen,Nordrhein-Westfalen,D,Ruhr,,
Hamm,Nordrhein-Westfalen,D,Lippe,,
Herne,Nordrhein-Westfalen,D,Emscher,,
MÃ¼lheim,Nordrhein-Westfalen,D,Ruhr,,
Solingen,Nordrhein-Westfalen,D,Wupper,,
Leverkusen,Nordrhein-Westfalen,D,Rhein,,
Leverkusen,Nordrhein-Westfalen,D,Wupper,,
Neuss,Nordrhein-Westfalen,D,Rhein,,
Paderborn,Nordrhein-Westfalen,D,Lippe,,
Recklinghausen,Nordrhein-Westfalen,D,Emscher,,
Remscheid,Nordrhein-Westfalen,D,Wupper,,
Bottrop,Nordrhein-Westfalen,D,Emscher,,
Siegen,Nordrhein-Westfalen,D,Sieg,,
Witten,Nordrhein-Westfalen,D,Ruhr,,
Mainz,Rheinland-Pfalz,D,Rhein,,
Ludwigshafen,Rheinland-Pfalz,D,Rhein,,
Koblenz,Rheinland-Pfalz,D,Rhein,,
Koblenz,Rheinland-Pfalz,D,Mosel,,
Trier,Rheinland-Pfalz,D,Mosel,,
SaarbrÃ¼cken,Saarland,D,Saar,,
Dresden,Sachsen,D,Elbe,,
Leipzig,Sachsen,D,WeiÃŸe Elster,,
Zwickau,Sachsen,D,Mulde,,
Magdeburg,Sachsen-Anhalt,D,Elbe,,
Halle,Sachsen-Anhalt,D,Saale,,
Halle,Sachsen-Anhalt,D,WeiÃŸe Elster,,
Kiel,Schleswig-Holstein,D,,,Baltic Sea
LÃ¼beck,Schleswig-Holstein,D,,,Baltic Sea
Gera,ThÃ¼ringen,D,WeiÃŸe Elster,,
Jena,ThÃ¼ringen,D,Saale,,
Miskolc,Borsod-AbaÃºj-ZemplÃ©n,H,SajÃ³,,
Szeged,CsongrÃ¡d,H,Tisza,,
Szeged,CsongrÃ¡d,H,MureÈ™,,
GyÅ‘r,GyÅ‘r-Moson-Sopron,H,Raab,,
Szolnok,JÃ¡sz-Nagykun-Szolnok,H,Tisza,,
Budapest,Budapest,H,Donau,,
Torino,Piemonte,I,Po,,
Aosta,Valle d'Aosta,I,Dora Baltea,,
Milano,Lombardia,I,Lambro,,
Monza,Lombardia,I,Lambro,,
Bolzano,Trentino-Alto Adige,I,Etsch,,
Trento,Trentino-Alto Adige,I,Etsch,,
Verona,Veneto,I,Etsch,,
VenÃ©zia,Veneto,I,,,Mediterranean Sea
Trieste,Friuli-Venezia Giulia,I,,,Mediterranean Sea
La Spezia,Liguria,I,,,Mediterranean Sea
GÃ©nova,Liguria,I,,,Mediterranean Sea
Piacenza,Emilia-Romagna,I,Po,,
RÃ­mini,Emilia-Romagna,I,,,Mediterranean Sea
Livorno,Toscana,I,,,Mediterranean Sea
Pisa,Toscana,I,Arno,,
Firenze,Toscana,I,Arno,,
Ancona,Marche,I,,,Mediterranean Sea
Roma,Lazio,I,Tevere,,
Pescara,Abruzzo,I,,,Mediterranean Sea
Salerno,Campania,I,,,Mediterranean Sea
NÃ¡poli,Campania,I,,,Mediterranean Sea
Torre del Greco,Campania,I,,,Mediterranean Sea
Bari,Puglia,I,,,Mediterranean Sea
TÃ¡ranto,Puglia,I,,,Mediterranean Sea
RÃ©ggio di Calabria,Calabria,I,,,Mediterranean Sea
Palermo,Sicilia,I,,,Mediterranean Sea
Messina,Sicilia,I,,,Mediterranean Sea
CatÃ¡nia,Sicilia,I,,,Mediterranean Sea
Siracusa,Sicilia,I,,,Mediterranean Sea
CÃ¡gliari,Sardegna,I,,,Mediterranean Sea
Aarau,Aargau,CH,Aare,,
Basel,Basel-Stadt,CH,Rhein,,
Basel,Basel-Stadt,CH,Birs,,
Bern,Bern,CH,Aare,,
Biel,Bern,CH,,Bielersee,
Fribourg,Fribourg,CH,Saane,,
GenÃ¨ve,GenÃ¨ve,CH,Rhone,Lac Leman,
Chur,GraubÃ¼nden,CH,Rhein,,
Delemont,Jura,CH,Birs,,
Luzern,Luzern,CH,Reuss,VierwaldstÃ¤ttersee,
Neuchatel,NeuchÃ¢tel,CH,,Lac de NeuchÃ¢tel,
Schaffhausen,Schaffhausen,CH,Rhein,,
Solothurn,Solothurn,CH,Aare,,
Frauenfeld,Thurgau,CH,Thur,,
Bellinzona,Ticino,CH,Ticino,,
Lugano,Ticino,CH,,Lago di Lugano,
Altdorf,Uri,CH,Reuss,VierwaldstÃ¤ttersee,
Sion,Valais,CH,Rhone,,
Lausanne,Vaud,CH,,Lac Leman,
ZÃ¼rich,ZÃ¼rich,CH,Limmat,ZÃ¼richsee,
Vaduz,Liechtenstein,FL,Rhein,,
Villach,KÃ¤rnten,A,Drau,,
Villach,KÃ¤rnten,A,Gail,,
Bregenz,Vorarlberg,A,,Bodensee,
Wien,Wien,A,Donau,,
Linz,OberÃ¶sterreich,A,Donau,,
Innsbruck,Tirol,A,Inn,,
Lienz,Tirol,A,Drau,,
Graz,Steiermark,A,Mur,,
Salzburg,Salzburg,A,Salzach,,
Tallinn,Estonia,EST,,,Baltic Sea
RÄ«ga,Latvia,LV,Daugava,,Baltic Sea
Vilnius,Lithuania,LT,Neris,,
Kaunas,Lithuania,LT,Memel,,
Kaunas,Lithuania,LT,Neris,,
Klaipeda,Lithuania,LT,,,Baltic Sea
Brest,Brest,BY,Western Bug,,
Pinsk,Brest,BY,Prypjat,,
Vitebsk,Vitebsk,BY,Daugava,,
Orsha,Vitebsk,BY,Dnepr,,
Novopolotsk,Vitebsk,BY,Daugava,,
Gomel,Gomel,BY,Sozh,,
Mazyr,Gomel,BY,Prypjat,,
Grodno,Grodno,BY,Memel,,
Mahiljou,Mahiljou,BY,Dnepr,,
Bobruysk,Mahiljou,BY,Berezina,,
Barysaw,Minsk,BY,Berezina,,
Minsk,Minsk City,BY,Svislach,,
WrocÅ‚aw,DolnoÅ›lÄ…skie,PL,Oder,,
Bydgoszcz,Kujawsko-Pomorskie,PL,Weichsel,,
ToruÅ„,Kujawsko-Pomorskie,PL,Weichsel,,
Grudziadz,Kujawsko-Pomorskie,PL,Weichsel,,
WÅ‚ocÅ‚awek,Kujawsko-Pomorskie,PL,Weichsel,,
GorzÃ³w Wielkopolski,Lubuskie,PL,Warta,,
KrakÃ³w,MaÅ‚opolskie,PL,Weichsel,,
TarnÃ³w,MaÅ‚opolskie,PL,Dunajec,,
Warszawa,Mazowieckie,PL,Weichsel,,
PÅ‚ock,Mazowieckie,PL,Weichsel,,
Opole,Opolskie,PL,Oder,,
GdaÅ„sk,Pomorskie,PL,Weichsel,,Baltic Sea
Gdynia,Pomorskie,PL,,,Baltic Sea
CzÄ™stochowa,ÅšlÄ…skie,PL,Warta,,
PoznaÅ„,Wielkopolskie,PL,Warta,,
Szczecin,Zachodniopomorskie,PL,Oder,,
Cerkasy,Cerkaska,UA,Dnepr,Kremenchuk Reservoir,
Cernihiv,Cernihivska,UA,Desna,,
Cernivci,Cernivecka,UA,Pruth,,
Cherson,Chersonska,UA,Dnepr,Kakhovka Reservoir,
Chmelnytskyi,Chmelnytska,UA,SouthernBug,,
Dnipro,Dnipropetrovska,UA,Dnepr,,
Kryvyi Rih,Dnipropetrovska,UA,Inhulets,,
Kamianske,Dnipropetrovska,UA,Dnepr,,
Nikopol,Dnipropetrovska,UA,,Kakhovka Reservoir,
Donetsk,Donetska,UA,Kalmius,,
Mariupol,Donetska,UA,Kalmius,,Sea of Azov
Prypjat,KyÃ¯vska,UA,Prypjat,,
Kropywnyzkyj,Kirovohradska,UA,Inhul,,
Sievierodonetsk,Luhanska,UA,Donets,,
Lysychansk,Luhanska,UA,Donets,,
MykolaÃ¯v,MykolaÃ¯vska,UA,SouthernBug,,
MykolaÃ¯v,MykolaÃ¯vska,UA,Inhul,,
Odesa,Odeska,UA,,,Black Sea
Poltava,Poltavska,UA,Vorskla,,
Kremenchuk,Poltavska,UA,Dnepr,Kremenchuk Reservoir,
Sumy,Sumska,UA,Psel,,
Vinnytsia,Vinnytska,UA,SouthernBug,,
Lutsk,Volynska,UA,Styr,,
Zaporizhzhia,Zaporizka,UA,Dnepr,,
Berdiansk,Zaporizka,UA,,,Sea of Azov
Zytomyr,Zytomyrska,UA,Teteriv,,
Kerch,Krym,UA,,,Black Sea
Kerch,Krym,UA,,,Sea of Azov
Yevpatoria,Krym,UA,,,Black Sea
KyÃ¯v,KyÃ¯v,UA,Dnepr,,
KyÃ¯v,KyÃ¯v,UA,Desna,,
Sevastopol,Sevastopol,UA,,,Black Sea
Petrozavodsk,Karelia,R,,Ozero Onega,
Syktyvkar,Komi,R,Vychegda,,
Arkhangelsk,Arkhangelskaya,R,Northern Dwina,,White Sea
Severodvinsk,Arkhangelskaya,R,Northern Dwina,,White Sea
Vologda,Vologodskaya,R,Suchona,,
Cherepovets,Vologodskaya,R,,Rybinsk Reservoir,
Murmansk,Murmanskaya,R,,,Barents Sea
Kaliningrad,Kaliningradskaya,R,,,Baltic Sea
Sankt Peterburg,Sankt-Peterburg,R,Newa,,Baltic Sea
Pskov,Pskovskaya,R,,Ozero Pskovskoje,
Bryansk,Bryanskaya,R,Desna,,
Kaluga,Kaluzhskaya,R,Oka,,
Kostroma,Kostromskaya,R,Volga,,
Moskva,Moscow,R,Moskva,,
Å½ukovskij,Moskovskaya,R,Moskva,,
Ramenskoye,Moskovskaya,R,Moskva,,
Kolomna,Moskovskaya,R,Oka,,
Kolomna,Moskovskaya,R,Moskva,,
Serpuchov,Moskovskaya,R,Oka,,
Orel,Orlovskaya,R,Oka,,
Ryazan,Ryazanskaya,R,Oka,,
Smolensk,Smolenskaya,R,Dnepr,,
Tver,Tverskaya,R,Volga,,
Yaroslavl,Yaroslavskaya,R,Volga,,
Rybinsk,Yaroslavskaya,R,Volga,Rybinsk Reservoir,
Cheboksary,Chuvashia,R,Volga,,
NovoÄeboksarsk,Chuvashia,R,Volga,,
Kirov,Kirovskaya,R,Vyatka,,
Nizhnii Novgorod,Nizhnii Novgorodskaya,R,Volga,,
Nizhnii Novgorod,Nizhnii Novgorodskaya,R,Oka,,
DzerÅ¾insk,Nizhnii Novgorodskaya,R,Oka,,
Belgorod,Belgorodskaya,R,Donets,,
Staryj Oskol,Belgorodskaya,R,Oskol,,
Voronezh,Voronezhskaya,R,Don,,
Kursk,Kurskaya,R,Seym,,
Jelec,Lipetskaya,R,Don,,
Kazan,Tatarstan,R,Volga,,
Naberezhnye Tchelny,Tatarstan,R,Kama,Lower Kama Reservoir,
NiÅ¾nekamsk,Tatarstan,R,Kama,,
Astrakhan,Astrakhanskaya,R,Volga,,
Volgograd,Volgogradskaya,R,Volga,,
Volzhsky,Volgogradskaya,R,Volga,,
KamyÅ¡in,Volgogradskaya,R,Volga,,
Samara,Samarskaya,R,Volga,,
Tolyatti,Samarskaya,R,,Kuybyshev Reservoir,
Syzran,Samarskaya,R,Volga,,
NovokujbyÅ¡evsk,Samarskaya,R,Volga,,
Saratov,Saratovskaya,R,Volga,,
Balakovo,Saratovskaya,R,Volga,,
Ä–ngels,Saratovskaya,R,Volga,,
Ulyanovsk,Ulyanovskaya,R,,Kuybyshev Reservoir,
Dimitrovgrad,Ulyanovskaya,R,,Kuybyshev Reservoir,
Rostov-na-Donu,Rostovskaya,R,Don,,
Batajsk,Rostovskaya,R,Don,,
Taganrog,Rostovskaya,R,,,Sea of Azov
Volgodonsk,Rostovskaya,R,Don,,
Ufa,Bashkortostan,R,Belaya,,
Neftekamsk,Bashkortostan,R,Kama,,
Sterlitamak,Bashkortostan,R,Belaya,,
Salavat,Bashkortostan,R,Belaya,,
Sarapul,Udmurtskaya,R,Kama,,
Orenburg,Orenburgskaya,R,Ural,,
Orsk,Orenburgskaya,R,Ural,,
Perm,Permskij,R,Kama,,
Berezniki,Permskij,R,Kama,,
Makhachkala,Dagestan,R,,Caspian Sea,
Derbent,Dagestan,R,,Caspian Sea,
Kaspijsk,Dagestan,R,,Caspian Sea,
ÄŒerkessk,Karachayevo-Cherkesskaya,R,Kuban,,
Vladikavkaz,North Ossetia-Alania,R,Terek,,
Krasnodar,Krasnodarskiy,R,Kuban,,
Sochi,Krasnodarskiy,R,,,Black Sea
Novorossiysk,Krasnodarskiy,R,,,Black Sea
Armavir,Krasnodarskiy,R,Kuban,,
Nevinnomyssk,Stavropolskiy,R,Kuban,,
Kurgan,Kurganskaya,R,Tobol,,
Yekaterinburg,Sverdlovskaya,R,Isset,,
Nizhny Tagil,Sverdlovskaya,R,Tagil,,
Kamensk-Uralskij,Sverdlovskaya,R,Isset,,
Pervouralsk,Sverdlovskaya,R,Chusovaya,,
Chelyabinsk,Chelyabinskaya,R,Miass,,
Magnitogorsk,Chelyabinskaya,R,Ural,,
Miass,Chelyabinskaya,R,Miass,,
Gorno Altaysk,Altay,R,Katun,,
Barnaul,Altayskiy,R,Ob,,
Bijsk,Altayskiy,R,Katun,,
Kemerovo,Kemerovskaya,R,Tom,,
Novokuznetsk,Kemerovskaya,R,Tom,,
Novosibirsk,Novosibirskaya,R,Ob,Novosibirsk Reservoir,
Berdsk,Novosibirskaya,R,,Novosibirsk Reservoir,
Omsk,Omskaya,R,Irtysh,,
Tomsk,Tomskaya,R,Tom,,
Seversk,Tomskaya,R,Tom,,
Tyumen,Tyumenskaya,R,Tura,,
Tobolsk,Tyumenskaya,R,Irtysh,,
Tobolsk,Tyumenskaya,R,Tobol,,
Khanty Mansijsk,Tyumenskaya,R,Ob,,
Surgut,Tyumenskaya,R,Ob,,
Nizhnevartovsk,Tyumenskaya,R,Ob,,
Neftejugansk,Tyumenskaya,R,Ob,,
Salekhard,Tyumenskaya,R,Ob,,
Ulan-Ude,Buryatiya,R,Selenge,,
Kyzyl,Tyva,R,Yenissey,,
Kyzyl,Tyva,R,Little Yenissey,,
Abakan,Khakasiya,R,Yenissey,,
Krasnoyarsk,Krasnoyarsk,R,Yenissey,,
Norilsk,Krasnoyarsk,R,Pyasina,,
AÄinsk,Krasnoyarsk,R,Chulym,,
Irkutsk,Irkutskaya,R,Angara,,
Angarsk,Irkutskaya,R,Angara,,
Bratsk,Irkutskaya,R,Angara,,
Ust-Ilimsk,Irkutskaya,R,Angara,,
Chita,Zabaykalskiy,R,Ingoda,,
Yakutsk,Sakha,R,Lena,,
Anadyr,Chukotka,R,Anadyr,,Bering Sea
Vladivostok,Primorskiy,R,,,Sea of Japan
Nachodka,Primorskiy,R,,,Sea of Japan
Khabarovsk,Khabarovskiy,R,Amur,,
Komsomolsk-na-Amure,Khabarovskiy,R,Amur,,
BlagoveÅ¡Äensk,Amurskaya,R,Amur,,
Petropavlovsk-KamÄatskij,Kamchatka,R,,,Pacific Ocean
Magadan,Magadanskaya,R,,,Sea of Okhotsk
Okhotsk,Magadanskaya,R,,,Sea of Okhotsk
Antwerpen,Antwerpen,B,Schelde,,
Gent,Oost-Vlaanderen,B,Schelde,,
LiÃ¨ge,LiÃ¨ge,B,Maas,,
Namur,Namur,B,Maas,,
Ostende,West-Vlaanderen,B,,,North Sea
